"Timestamp","id","type","X","Y","Zone","Attraction"
"2014/6/8 08:45:32","1935406","check-in","99","77","5","70"
"2014/6/8 08:46:07","1935406","movement","98","77","5",""
"2014/6/8 08:46:12","1935406","movement","97","77","5",""
"2014/6/8 08:46:17","1935406","movement","96","77","5",""
"2014/6/8 08:46:22","1935406","movement","95","77","5",""
"2014/6/8 08:46:28","1935406","movement","94","77","5",""
"2014/6/8 08:46:40","1935406","movement","93","76","5",""
"2014/6/8 08:46:45","1935406","movement","93","77","5",""
"2014/6/8 08:46:50","1935406","movement","93","76","5",""
"2014/6/8 08:46:55","1935406","movement","92","77","5",""
"2014/6/8 08:47:00","1935406","movement","93","77","5",""
"2014/6/8 08:47:05","1935406","movement","92","78","5",""
"2014/6/8 08:47:10","1935406","movement","91","78","5",""
"2014/6/8 08:47:15","1935406","movement","90","79","5",""
"2014/6/8 08:47:20","1935406","movement","90","79","5",""
"2014/6/8 08:47:25","1935406","movement","89","79","5",""
"2014/6/8 08:47:34","1935406","movement","88","80","5",""
"2014/6/8 08:47:39","1935406","movement","88","79","5",""
"2014/6/8 08:47:44","1935406","movement","88","80","5",""
"2014/6/8 08:47:49","1935406","movement","87","81","5",""
"2014/6/8 08:47:54","1935406","movement","87","80","5",""
"2014/6/8 08:47:59","1935406","movement","86","81","5",""
"2014/6/8 08:48:04","1935406","movement","86","82","5",""
"2014/6/8 08:48:09","1935406","movement","85","83","5",""
"2014/6/8 08:48:14","1935406","movement","86","83","5",""
"2014/6/8 08:48:19","1935406","movement","85","84","5",""
"2014/6/8 08:48:24","1935406","movement","85","83","5",""
"2014/6/8 08:48:29","1935406","movement","85","84","5",""
"2014/6/8 08:48:34","1935406","movement","85","85","5",""
"2014/6/8 08:48:40","1935406","movement","85","86","5",""
"2014/6/8 08:48:51","1935406","movement","84","86","5",""
"2014/6/8 08:49:02","1935406","movement","83","85","5",""
"2014/6/8 08:49:07","1935406","movement","84","85","5",""
"2014/6/8 08:49:12","1935406","movement","83","85","5",""
"2014/6/8 08:49:17","1935406","movement","82","86","5",""
"2014/6/8 08:49:22","1935406","movement","82","86","5",""
"2014/6/8 08:49:27","1935406","movement","81","87","5",""
"2014/6/8 08:49:32","1935406","movement","81","87","5",""
"2014/6/8 08:49:37","1935406","movement","80","88","5",""
"2014/6/8 08:49:42","1935406","movement","80","88","5",""
"2014/6/8 08:49:47","1935406","movement","79","89","5",""
"2014/6/8 08:49:52","1935406","movement","79","89","5",""
"2014/6/8 08:49:57","1935406","movement","78","88","5",""
"2014/6/8 08:50:02","1935406","movement","78","88","5",""
