"time-stamp","id","movement","x","y","",""
"2014/6/8 08:12:29","1012604","check-in","63","99","5","69"
"2014/6/8 08:19:16","1012604","movement","63","98","5",""
"2014/6/8 08:19:23","1012604","movement","63","97","5",""
"2014/6/8 08:19:30","1012604","movement","63","96","5",""
"2014/6/8 08:19:37","1012604","movement","64","95","5",""
"2014/6/8 08:19:44","1012604","movement","64","94","5",""
"2014/6/8 08:19:51","1012604","movement","64","93","5",""
"2014/6/8 08:19:58","1012604","movement","64","92","5",""
"2014/6/8 08:20:05","1012604","movement","63","91","5",""
"2014/6/8 08:20:12","1012604","movement","62","90","5",""
"2014/6/8 08:20:19","1012604","movement","61","89","5",""
"2014/6/8 08:20:26","1012604","movement","60","88","5",""
"2014/6/8 08:20:33","1012604","movement","59","87","5",""
"2014/6/8 08:20:40","1012604","movement","58","88","5",""
"2014/6/8 08:20:47","1012604","movement","57","88","5",""
"2014/6/8 08:20:54","1012604","movement","56","87","5",""
"2014/6/8 08:21:01","1012604","movement","55","87","5",""
"2014/6/8 08:21:08","1012604","movement","54","86","5",""
"2014/6/8 08:21:15","1012604","movement","53","86","5",""
"2014/6/8 08:21:22","1012604","movement","52","85","5",""
"2014/6/8 08:21:29","1012604","movement","51","84","5",""
"2014/6/8 08:21:36","1012604","movement","50","84","5",""
"2014/6/8 08:21:43","1012604","movement","49","83","5",""
"2014/6/8 08:21:50","1012604","movement","48","82","5",""
"2014/6/8 08:21:57","1012604","movement","47","81","4",""
"2014/6/8 08:22:04","1012604","movement","46","80","4",""
"2014/6/8 08:22:11","1012604","movement","45","79","4",""
"2014/6/8 08:22:18","1012604","movement","44","78","3",""
"2014/6/8 08:22:25","1012604","movement","43","77","3",""
"2014/6/8 08:22:32","1012604","movement","42","77","3",""
"2014/6/8 08:22:39","1012604","movement","41","76","3",""
"2014/6/8 08:22:46","1012604","movement","40","75","3",""
"2014/6/8 08:22:53","1012604","movement","39","74","3",""
"2014/6/8 08:23:00","1012604","movement","38","74","3",""
"2014/6/8 08:23:07","1012604","movement","37","73","3",""
"2014/6/8 08:23:14","1012604","movement","36","72","3",""
"2014/6/8 08:23:21","1012604","movement","35","71","2",""
"2014/6/8 08:23:28","1012604","movement","34","70","2",""
"2014/6/8 08:23:35","1012604","movement","34","69","2",""
"2014/6/8 08:23:42","1012604","movement","33","68","2",""
"2014/6/8 08:23:49","1012604","movement","33","67","2",""
"2014/6/8 08:23:56","1012604","movement","34","66","2",""
"2014/6/8 08:24:03","1012604","movement","35","65","2",""
"2014/6/8 08:24:10","1012604","movement","34","64","2",""
"2014/6/8 08:24:17","1012604","movement","34","63","2",""
"2014/6/8 08:24:24","1012604","movement","33","62","2",""
"2014/6/8 08:24:31","1012604","movement","32","62","2",""
"2014/6/8 08:24:38","1012604","movement","31","61","2",""
"2014/6/8 08:24:45","1012604","movement","30","60","2",""
"2014/6/8 08:24:52","1012604","movement","29","59","2",""
"2014/6/8 08:24:59","1012604","movement","28","59","2",""
"2014/6/8 08:25:06","1012604","movement","27","58","2",""
"2014/6/8 08:25:13","1012604","movement","26","57","2",""
"2014/6/8 08:25:20","1012604","movement","25","56","2",""
"2014/6/8 08:25:27","1012604","movement","24","55","2",""
"2014/6/8 08:25:34","1012604","movement","23","54","2",""
"2014/6/8 08:25:41","1012604","movement","22","53","2",""
"2014/6/8 08:25:48","1012604","movement","21","52","2",""
"2014/6/8 08:25:55","1012604","movement","20","51","2",""
"2014/6/8 08:26:02","1012604","movement","19","50","2",""
"2014/6/8 08:26:09","1012604","movement","18","49","1",""
"2014/6/8 08:26:16","1012604","movement","17","48","1",""
"2014/6/8 08:26:23","1012604","movement","17","47","1",""
"2014/6/8 08:26:30","1012604","movement","16","46","1",""
"2014/6/8 08:26:37","1012604","movement","16","45","1",""
"2014/6/8 08:26:44","1012604","movement","15","44","1",""
"2014/6/8 08:26:51","1012604","movement","15","43","1",""
"2014/6/8 08:26:58","1012604","movement","15","42","1",""
"2014/6/8 08:27:05","1012604","movement","15","41","1",""
"2014/6/8 08:27:12","1012604","movement","16","40","1",""
"2014/6/8 08:27:19","1012604","movement","17","39","1",""
"2014/6/8 08:27:26","1012604","movement","18","38","1",""
"2014/6/8 08:27:33","1012604","movement","19","38","1",""
"2014/6/8 08:27:40","1012604","movement","20","39","1",""
"2014/6/8 08:27:47","1012604","movement","21","40","1",""
"2014/6/8 08:27:54","1012604","movement","22","40","1",""
"2014/6/8 08:28:01","1012604","movement","23","39","1",""
"2014/6/8 08:28:08","1012604","movement","24","38","1",""
"2014/6/8 08:28:15","1012604","movement","25","38","1",""
"2014/6/8 08:28:22","1012604","movement","26","38","1",""
