"Timestamp","id","type","X","Y","Zone","Attraction"
"2014/6/6 08:45:40","521750","check-in","99","77","5","70"
"2014/6/6 08:46:07","521750","movement","98","77","5",""
"2014/6/6 08:46:12","521750","movement","97","77","5",""
"2014/6/6 08:46:17","521750","movement","96","77","5",""
"2014/6/6 08:46:22","521750","movement","95","77","5",""
"2014/6/6 08:46:29","521750","movement","94","77","5",""
"2014/6/6 08:46:40","521750","movement","93","76","5",""
"2014/6/6 08:46:45","521750","movement","94","76","5",""
"2014/6/6 08:46:50","521750","movement","93","76","5",""
"2014/6/6 08:46:55","521750","movement","92","77","5",""
"2014/6/6 08:47:00","521750","movement","92","77","5",""
"2014/6/6 08:47:05","521750","movement","91","78","5",""
"2014/6/6 08:47:10","521750","movement","91","78","5",""
"2014/6/6 08:47:15","521750","movement","90","79","5",""
"2014/6/6 08:47:20","521750","movement","91","79","5",""
"2014/6/6 08:47:25","521750","movement","90","79","5",""
"2014/6/6 08:47:30","521750","movement","89","79","5",""
"2014/6/6 08:47:36","521750","movement","88","80","5",""
"2014/6/6 08:47:41","521750","movement","88","79","5",""
"2014/6/6 08:47:46","521750","movement","87","80","5",""
"2014/6/6 08:47:51","521750","movement","87","81","5",""
"2014/6/6 08:47:56","521750","movement","87","81","5",""
"2014/6/6 08:48:01","521750","movement","86","82","5",""
"2014/6/6 08:48:06","521750","movement","86","81","5",""
"2014/6/6 08:48:11","521750","movement","85","82","5",""
"2014/6/6 08:48:16","521750","movement","85","83","5",""
"2014/6/6 08:48:21","521750","movement","84","84","5",""
"2014/6/6 08:48:26","521750","movement","85","84","5",""
"2014/6/6 08:48:31","521750","movement","85","85","5",""
"2014/6/6 08:48:36","521750","movement","85","85","5",""
"2014/6/6 08:48:41","521750","movement","85","86","5",""
"2014/6/6 08:48:52","521750","movement","84","85","5",""
"2014/6/6 08:48:57","521750","movement","84","85","5",""
"2014/6/6 08:49:02","521750","movement","84","85","5",""
"2014/6/6 08:49:07","521750","movement","83","86","5",""
"2014/6/6 08:49:12","521750","movement","83","86","5",""
"2014/6/6 08:49:17","521750","movement","82","86","5",""
"2014/6/6 08:49:25","521750","movement","81","87","5",""
"2014/6/6 08:49:30","521750","movement","82","87","5",""
"2014/6/6 08:49:35","521750","movement","81","87","5",""
"2014/6/6 08:49:40","521750","movement","80","88","5",""
"2014/6/6 08:49:45","521750","movement","81","88","5",""
"2014/6/6 08:49:50","521750","movement","80","88","5",""
"2014/6/6 08:49:55","521750","movement","79","89","5",""
"2014/6/6 08:50:00","521750","movement","78","88","5",""
"2014/6/6 08:50:05","521750","movement","78","88","5",""
